Date,Price
2023-05-16,57700.0
2023-05-17,57497.0
2023-05-18,56901.0
2023-05-19,57739.0
2023-05-22,57750.0
2023-05-23,57625.0
2023-05-24,57389.0
2023-05-25,56692.0
2023-05-26,56741.0
2023-05-30,57034.0
2023-05-31,57278.0
2023-06-01,57678.0
2023-06-02,56663.0
2023-06-05,56917.0
2023-06-06,57205.0
2023-06-07,56546.0
2023-06-08,57224.0
2023-06-09,57093.0
2023-06-12,56863.0
2023-06-13,56478.0
2023-06-14,56756.0
2023-06-15,56659.0
2023-06-16,56585.0
2023-06-20,55971.0
2023-06-21,55914.0
2023-06-22,55284.0
2023-06-23,55454.0
2023-06-26,55632.0
2023-06-27,55366.0
2023-06-28,55311.0
2023-06-29,55240.0
2023-06-30,55618.0
2023-07-03,55649.0
2023-07-05,55528.0
2023-07-06,55473.0
2023-07-07,56236.0
2023-07-10,56097.0
2023-07-11,56220.0
2023-07-12,56858.0
2023-07-13,56670.0
2023-07-14,56716.0
2023-07-17,56525.0
2023-07-18,57232.0
2023-07-19,57251.0
2023-07-20,56975.0
2023-07-21,56873.0
2023-07-24,56694.0
2023-07-25,56624.0
2023-07-26,56915.0
2023-07-27,56253.0
2023-07-28,56963.0
2023-07-31,57171.0
2023-08-01,56293.0
2023-08-02,56248.0
2023-08-03,56382.0
2023-08-04,56638.0
2023-08-07,56400.0
2023-08-08,56161.0
2023-08-09,55973.0
2023-08-10,55958.0
2023-08-11,55869.0
2023-08-14,55868.0
2023-08-15,55856.0
2023-08-16,55642.0
2023-08-17,55319.0
